primer_autor,count
K. Saddhono,2
"Pap, J.",1
"Keong, T.C.",1
"Josepha, M.J.",1
"Juhanaini, J.",1
"Muktiarni, M.",1
"Ruhayati, Y.",1
"Ratmaningsih, N.",1
"Hibi, W.",1
"Feng, B.",1
"Wang, J.",1
"Josephng, P.S.",1
"Wadhwa, H.",1
"Hu, Y.",1
"Tianyi, L.",1
"Wu, Y.",1
"Luo, G.",1
"Yu, Xiaotong",1
"Sohr, Erin Ronayne",1
"Wang, Yang",1
"Louka, Konstantina",1
"Dan, X.",1
M. M. Asiri,1
"Li, Qi",1
"Joshi, A.",1
"Basu ,Satabdi",1
"Songkram ,Noawanit",1
"Zha ,Shenghua",1
"Alajlan ,Hayat",1
"Rich ,Kathryn M.",1
"Finke ,Sabrina",1
"Poole ,Frederick J.",1
"Hershkovitz ,Arnon",1
"Rich ,Peter J.",1
"Pinkard ,Nichole",1
"Kayhan ,Osman",1
"Manfra ,Meghan McGlinn",1
"Huang ,Joey",1
"Wilkerson ,Michelle Hoda",1
"Clarke-Midura ,Jody",1
"Rodríguez-Martínez ,José Antonio",1
"Weintrop ,David",1
"Bull ,Glen",1
"Shi, D.",1
"Dutra, P.V.M.",1
"Zurnacı, Burcu",1
"Yang, Tzu-Chi",1
Z. Yuan,1
R. B. de Almeida,1
M. Á. Conde,1
C. Araújo,1
J. Luo,1
Y. Wang,1
S. Trilles,1
C. -H. Chen,1
M. S. A. Magboo,1
V. I. Dorofeeva,1
M. Lewis,1
B. Sun,1
C. E. Yavas,1
M. Sultanov,1
N. Kumar,1
S. L. Lim,1
V. Kumar,1
S. G,1
R. B. Bhise,1
N. A. Mack,1
M. K. Bali,1
"Wilkie, Karina J.",1
"Rosli, Mohd Shafie",1
"Wu, Ting-Ting",1
"Çiftçi, Ayşe",1
"Zhang, Xinli",1
"Barkela, Veronika",1
"Gün-Tosik, Ezgi",1
"Alonso-García, Santiago",1
"Hooshyar, Danial",1
"Kopcha, Theodore J.",1
"Suherman, Suherman",1
R. Chavan,1
"Kong, Siu-Cheung",1
"Falloon, Garry",1
"Berson, Ilene R.",1
"Na, Chungsoo",1
"Celik, Ismail",1
"Avital, Ben",1
"Marín-Marín, José-Antonio",1
"Metcalf ,Shari J.",1
"Zhang ,Jia-Hua",1
